Region.ID,abbr,GDPinUSD,province
1,AH,363.1,Anhui
2,BJ,374.86,Beijing
3,CQ,264.35,Chongqing
4,FJ,429.36,Fujian
5,GS,107.67,Gansu
6,GX,274.68,Guangxi
7,GZ,176.66,Guizhou
8,HA,60.89,Hainan
9,HEB,479.17,Hebei
10,HL,231.64,Heilongjiang
11,HEN,604.61,Henan
12,HUB,486.25,Hubei
13,HUN,470.39,Hunan
14,JS,1145.48,Jiangsu
15,JX,276.48,Jiangxi
16,JL,224.11,Jilin
17,LN,331.78,Liaoning
18,NM,280.51,Inner Mongolia
19,NX,47.42,Ningxia
20,QH,38.73,Qinghai
21,SAA,288.54,Shaanxi
22,SD,1008.81,Shandong
23,SHG,413.5,Shanghai
24,SAX,194.64,Shanxi
25,SC,492.01,Sichuan
26,TJ,269.27,Tianjin
27,XJ,144.79,Xinjiang
28,XZG,17.31,Tibet
29,YN,223.87,Yunnan
30,ZJ,699.83,Zhejiang
31,GD,1197.06,Guangdong
32,HK,309.23,Hong Kong
33,MO,46.2,Macau
34,TW,523,Taiwan
