"","poly","x","y"
"1",1,0.302204,-0.18809
"2",1,0.302716,-0.187835
"3",1,0.302868,-0.1872
"4",1,0.303679,-0.187221
"5",1,0.304281,-0.187698
"6",1,0.30477,-0.188597
"7",1,0.305365,-0.18852
"8",1,0.305318,-0.187859
"9",1,0.305299,-0.18759
"10",1,0.305437,-0.187106
"11",1,0.305172,-0.186638
"12",1,0.305168,-0.186004
"13",1,0.30483,-0.185666
"14",1,0.305211,-0.185004
"15",1,0.305529,-0.184968
"16",1,0.305965,-0.185374
"17",1,0.306602,-0.185291
"18",1,0.307164,-0.185332
"19",1,0.306951,-0.18459
"20",1,0.306372,-0.184304
"21",1,0.305533,-0.183483
"22",1,0.305702,-0.182468
"23",1,0.306001,-0.181768
"24",1,0.306538,-0.181035
"25",1,0.306819,-0.180284
"26",1,0.306819,-0.180284
"27",1,0.307897,-0.179332
"28",1,0.308499,-0.178608
"29",1,0.307884,-0.17785
"30",1,0.308004,-0.177413
"31",1,0.308578,-0.176435
"32",1,0.309234,-0.175584
"33",1,0.309113,-0.17485
"34",1,0.308825,-0.174397
"35",1,0.308272,-0.174565
"36",1,0.308215,-0.173909
"37",1,0.307951,-0.173619
"38",1,0.307882,-0.172874
"39",1,0.308169,-0.172077
"40",1,0.308287,-0.171289
"41",1,0.307487,-0.170732
"42",1,0.307618,-0.169601
"43",1,0.307707,-0.16889
"44",1,0.307948,-0.168543
"45",1,0.307782,-0.168021
"46",1,0.308179,-0.167374
"47",1,0.308568,-0.166846
"48",1,0.30889,-0.166281
"49",1,0.30911,-0.165881
"50",1,0.30879,-0.163364
"51",1,0.308518,-0.161241
"52",1,0.309733,-0.157651
"53",1,0.311446,-0.152649
"54",1,0.312307,-0.150145
"55",1,0.313817,-0.14597
"56",1,0.314576,-0.145861
"57",1,0.315195,-0.145955
"58",1,0.316047,-0.145954
"59",1,0.316096,-0.14674
"60",1,0.316897,-0.148907
"61",1,0.317899,-0.1492
"62",1,0.318814,-0.149551
"63",1,0.319745,-0.148599
"64",1,0.321073,-0.147725
"65",1,0.321852,-0.147372
"66",1,0.321877,-0.14678
"67",1,0.32273,-0.146256
"68",1,0.323323,-0.146271
"69",1,0.324256,-0.14588
"70",1,0.323985,-0.145333
"71",1,0.324101,-0.144779
"72",1,0.325157,-0.144497
"73",1,0.325972,-0.144505
"74",1,0.326679,-0.144758
"75",1,0.327695,-0.145214
"76",1,0.328933,-0.14582
"77",1,0.329566,-0.146022
"78",1,0.330678,-0.147088
"79",1,0.332082,-0.147622
"80",1,0.333458,-0.152123
"81",1,0.334456,-0.155329
"82",1,0.33617,-0.160673
"83",1,0.337418,-0.16468
"84",1,0.337934,-0.16635
"85",1,0.338381,-0.166583
"86",1,0.338009,-0.167581
"87",1,0.338673,-0.168096
"88",1,0.338457,-0.169044
"89",1,0.338968,-0.169808
"90",1,0.33899,-0.170755
"91",1,0.33899,-0.170773
"92",1,0.340066,-0.170417
"93",1,0.340722,-0.171099
"94",1,0.341281,-0.171101
"95",1,0.342545,-0.171186
"96",1,0.343425,-0.170745
"97",1,0.343963,-0.171172
"98",1,0.344399,-0.17232
"99",1,0.343729,-0.172614
"100",1,0.343875,-0.173396
"101",1,0.344947,-0.174494
"102",1,0.344936,-0.175838
"103",1,0.344871,-0.176446
"104",1,0.345325,-0.1768
"105",1,0.346513,-0.178023
"106",1,0.347257,-0.178314
"107",1,0.347637,-0.17781
"108",1,0.347724,-0.17697
"109",1,0.348614,-0.177052
"110",1,0.34916,-0.177038
"111",1,0.349997,-0.177701
"112",1,0.350479,-0.178348
"113",1,0.350786,-0.178968
"114",1,0.351828,-0.180284
"115",1,0.352608,-0.18071
"116",1,0.352781,-0.181647
"117",1,0.353456,-0.182016
"118",1,0.352815,-0.183121
"119",1,0.352395,-0.183734
"120",1,0.352071,-0.184492
"121",1,0.351674,-0.185424
"122",1,0.351042,-0.186077
"123",1,0.35054,-0.186929
"124",1,0.349521,-0.18678
"125",1,0.349272,-0.187262
"126",1,0.348698,-0.187482
"127",1,0.348414,-0.188379
"128",1,0.348304,-0.18926
"129",1,0.348687,-0.189745
"130",1,0.348026,-0.190825
"131",1,0.347073,-0.190058
"132",1,0.346657,-0.189476
"133",1,0.346143,-0.19007
"134",1,0.345148,-0.190506
"135",1,0.344776,-0.191171
"136",1,0.344803,-0.191991
"137",1,0.344403,-0.192576
"138",1,0.343876,-0.192424
"139",1,0.343811,-0.19252
"140",1,0.343495,-0.192981
"141",1,0.343061,-0.193054
"142",1,0.342942,-0.194179
"143",1,0.342124,-0.193812
"144",1,0.341748,-0.193509
"145",1,0.341059,-0.19396
"146",1,0.341473,-0.194665
"147",1,0.341365,-0.195095
"148",1,0.341117,-0.195897
"149",1,0.341983,-0.196386
"150",1,0.340359,-0.196711
"151",1,0.34045,-0.197372
"152",1,0.340706,-0.198933
"153",1,0.339377,-0.199173
"154",1,0.338688,-0.199679
"155",1,0.338397,-0.199946
"156",1,0.337994,-0.199338
"157",1,0.336001,-0.200192
"158",1,0.334249,-0.198997
"159",1,0.333432,-0.199219
"160",1,0.333005,-0.199473
"161",1,0.332725,-0.199266
"162",1,0.331839,-0.199311
"163",1,0.330513,-0.199238
"164",1,0.32822,-0.197916
"165",1,0.327564,-0.199131
"166",1,0.326825,-0.198713
"167",1,0.326393,-0.199039
"168",1,0.325485,-0.199099
"169",1,0.32563,-0.196855
"170",1,0.324664,-0.196573
"171",1,0.324589,-0.195386
"172",1,0.323172,-0.195494
"173",1,0.322415,-0.195543
"174",1,0.322503,-0.196035
"175",1,0.32209,-0.197058
"176",1,0.322694,-0.197027
"177",1,0.322655,-0.199265
"178",1,0.318988,-0.199456
"179",1,0.319072,-0.200044
"180",1,0.31927,-0.200203
"181",1,0.319357,-0.201903
"182",1,0.320034,-0.20202
"183",1,0.320681,-0.20183
"184",1,0.323391,-0.201629
"185",1,0.323312,-0.20317
"186",1,0.322144,-0.203234
"187",1,0.321916,-0.204393
"188",1,0.320542,-0.204473
"189",1,0.32079,-0.206644
"190",1,0.320615,-0.206882
"191",1,0.320899,-0.207081
"192",1,0.32057,-0.208068
"193",1,0.320241,-0.208519
"194",1,0.318556,-0.207764
"195",1,0.31722,-0.206976
"196",1,0.316875,-0.208005
"197",1,0.315261,-0.20762
"198",1,0.314612,-0.208279
"199",1,0.313868,-0.208003
"200",1,0.31355,-0.206448
"201",1,0.31288,-0.20575
"202",1,0.310933,-0.207986
"203",1,0.312747,-0.209585
"204",1,0.312192,-0.211659
"205",1,0.312609,-0.212304
"206",1,0.31181,-0.212692
"207",1,0.310469,-0.213412
"208",1,0.310233,-0.213331
"209",1,0.309989,-0.212557
"210",1,0.308695,-0.208303
"211",1,0.307851,-0.205522
"212",1,0.307714,-0.205086
"213",1,0.307625,-0.204803
"214",1,0.30742,-0.204151
"215",1,0.306897,-0.202488
"216",1,0.306583,-0.201491
"217",1,0.305345,-0.197541
"218",1,0.303897,-0.193159
"219",1,0.302204,-0.18809
"220",2,0.333358,-0.200693
"221",2,0.333774,-0.200039
"222",2,0.333005,-0.199473
"223",2,0.333432,-0.199219
"224",2,0.334249,-0.198997
"225",2,0.336001,-0.200192
"226",2,0.337994,-0.199338
"227",2,0.338397,-0.199946
"228",2,0.337857,-0.20044
"229",2,0.337767,-0.20159
"230",2,0.33732,-0.201838
"231",2,0.336811,-0.200663
"232",2,0.335582,-0.201366
"233",2,0.334609,-0.202243
"234",2,0.333981,-0.201478
"235",2,0.333358,-0.200693
"236",3,0.334699,-0.204771
"237",3,0.335196,-0.204273
"238",3,0.335777,-0.205105
"239",3,0.335529,-0.206019
"240",3,0.3347,-0.205686
"241",3,0.334699,-0.204771
"242",4,0.310233,-0.213331
"243",4,0.310469,-0.213412
"244",4,0.31181,-0.212692
"245",4,0.312609,-0.212304
"246",4,0.312192,-0.211659
"247",4,0.312747,-0.209585
"248",4,0.310933,-0.207986
"249",4,0.31288,-0.20575
"250",4,0.31355,-0.206448
"251",4,0.313868,-0.208003
"252",4,0.314612,-0.208279
"253",4,0.315261,-0.20762
"254",4,0.316875,-0.208005
"255",4,0.31722,-0.206976
"256",4,0.318556,-0.207764
"257",4,0.320241,-0.208519
"258",4,0.32057,-0.208068
"259",4,0.320899,-0.207081
"260",4,0.320615,-0.206882
"261",4,0.32079,-0.206644
"262",4,0.320542,-0.204473
"263",4,0.321916,-0.204393
"264",4,0.322144,-0.203234
"265",4,0.323312,-0.20317
"266",4,0.323391,-0.201629
"267",4,0.320681,-0.20183
"268",4,0.320034,-0.20202
"269",4,0.319357,-0.201903
"270",4,0.31927,-0.200203
"271",4,0.319072,-0.200044
"272",4,0.318988,-0.199456
"273",4,0.322655,-0.199265
"274",4,0.322694,-0.197027
"275",4,0.32209,-0.197058
"276",4,0.322503,-0.196035
"277",4,0.322415,-0.195543
"278",4,0.323172,-0.195494
"279",4,0.324589,-0.195386
"280",4,0.324664,-0.196573
"281",4,0.32563,-0.196855
"282",4,0.325485,-0.199099
"283",4,0.326393,-0.199039
"284",4,0.326825,-0.198713
"285",4,0.327564,-0.199131
"286",4,0.32822,-0.197916
"287",4,0.330513,-0.199238
"288",4,0.331839,-0.199311
"289",4,0.331595,-0.199324
"290",4,0.331727,-0.200418
"291",4,0.331677,-0.201191
"292",4,0.332452,-0.201894
"293",4,0.33221,-0.202681
"294",4,0.332664,-0.203159
"295",4,0.332427,-0.203825
"296",4,0.33176,-0.203974
"297",4,0.331233,-0.204111
"298",4,0.331048,-0.205178
"299",4,0.330701,-0.205325
"300",4,0.330445,-0.206115
"301",4,0.330061,-0.206643
"302",4,0.329361,-0.205731
"303",4,0.328924,-0.205385
"304",4,0.328708,-0.205214
"305",4,0.328524,-0.205876
"306",4,0.328396,-0.206159
"307",4,0.327957,-0.207594
"308",4,0.327345,-0.207702
"309",4,0.327119,-0.208095
"310",4,0.326341,-0.208673
"311",4,0.325835,-0.208958
"312",4,0.325596,-0.209092
"313",4,0.325381,-0.210037
"314",4,0.324813,-0.210486
"315",4,0.324625,-0.211027
"316",4,0.324347,-0.211042
"317",4,0.324003,-0.210152
"318",4,0.323662,-0.210109
"319",4,0.323281,-0.210062
"320",4,0.322604,-0.210811
"321",4,0.322552,-0.211445
"322",4,0.321794,-0.211603
"323",4,0.321689,-0.211625
"324",4,0.321586,-0.212409
"325",4,0.320698,-0.212605
"326",4,0.320565,-0.21318
"327",4,0.320475,-0.214094
"328",4,0.320792,-0.214717
"329",4,0.320398,-0.215154
"330",4,0.319538,-0.215618
"331",4,0.319321,-0.215662
"332",4,0.319043,-0.21572
"333",4,0.318943,-0.216514
"334",4,0.319785,-0.2168
"335",4,0.319309,-0.217761
"336",4,0.319158,-0.218747
"337",4,0.31865,-0.219265
"338",4,0.318003,-0.219374
"339",4,0.317849,-0.2196
"340",4,0.317665,-0.21987
"341",4,0.317523,-0.220851
"342",4,0.317818,-0.221535
"343",4,0.317862,-0.221636
"344",4,0.317883,-0.222692
"345",4,0.317696,-0.223269
"346",4,0.317434,-0.224402
"347",4,0.317047,-0.224806
"348",4,0.316311,-0.224639
"349",4,0.315339,-0.224117
"350",4,0.315208,-0.224046
"351",4,0.315016,-0.223179
"352",4,0.315016,-0.223177
"353",4,0.314986,-0.222504
"354",4,0.314017,-0.221805
"355",4,0.31314,-0.221049
"356",4,0.312169,-0.220378
"357",4,0.312121,-0.219426
"358",4,0.312009,-0.218642
"359",4,0.311919,-0.218018
"360",4,0.31167,-0.217532
"361",4,0.311425,-0.217053
"362",4,0.310716,-0.214871
"363",4,0.310233,-0.213331
"364",5,-0.273077,-0.424361
"365",5,-0.273135,-0.423928
"366",5,-0.272386,-0.423501
"367",5,-0.271498,-0.422436
"368",5,-0.271221,-0.422083
"369",5,-0.2707,-0.422318
"370",5,-0.269959,-0.422343
"371",5,-0.269269,-0.422366
"372",5,-0.268591,-0.421872
"373",5,-0.267481,-0.42097
"374",5,-0.267205,-0.420009
"375",5,-0.267324,-0.419596
"376",5,-0.267227,-0.418748
"377",5,-0.26748,-0.417778
"378",5,-0.267559,-0.417742
"379",5,-0.268347,-0.417373
"380",5,-0.269123,-0.417317
"381",5,-0.269706,-0.417077
"382",5,-0.269979,-0.415817
"383",5,-0.269411,-0.414959
"384",5,-0.26915,-0.413743
"385",5,-0.269012,-0.413317
"386",5,-0.269594,-0.412619
"387",5,-0.269255,-0.412054
"388",5,-0.269063,-0.411139
"389",5,-0.26922,-0.410598
"390",5,-0.268445,-0.410515
"391",5,-0.267881,-0.410548
"392",5,-0.267758,-0.410379
"393",5,-0.267111,-0.409484
"394",5,-0.265871,-0.408626
"395",5,-0.265751,-0.407675
"396",5,-0.265507,-0.406739
"397",5,-0.265114,-0.406253
"398",5,-0.264906,-0.405825
"399",5,-0.264883,-0.40509
"400",5,-0.264875,-0.403885
"401",5,-0.26454,-0.403297
"402",5,-0.26446,-0.402661
"403",5,-0.264736,-0.402107
"404",5,-0.26428,-0.401682
"405",5,-0.263325,-0.400907
"406",5,-0.262946,-0.400415
"407",5,-0.262747,-0.399803
"408",5,-0.26267,-0.39957
"409",5,-0.262296,-0.399307
"410",5,-0.261405,-0.399071
"411",5,-0.260519,-0.398666
"412",5,-0.259563,-0.398489
"413",5,-0.258659,-0.397714
"414",5,-0.258047,-0.397482
"415",5,-0.257925,-0.396725
"416",5,-0.257917,-0.396676
"417",5,-0.258235,-0.395915
"418",5,-0.25933,-0.394693
"419",5,-0.260162,-0.393657
"420",5,-0.260771,-0.393532
"421",5,-0.260537,-0.392392
"422",5,-0.260938,-0.391163
"423",5,-0.261162,-0.389137
"424",5,-0.261407,-0.388485
"425",5,-0.262292,-0.386688
"426",5,-0.262901,-0.385534
"427",5,-0.262597,-0.384335
"428",5,-0.262446,-0.38331
"429",5,-0.262101,-0.382183
"430",5,-0.261847,-0.381279
"431",5,-0.26156,-0.381347
"432",5,-0.261133,-0.381114
"433",5,-0.26091,-0.378939
"434",5,-0.26096,-0.376288
"435",5,-0.26134,-0.375494
"436",5,-0.261063,-0.374203
"437",5,-0.260632,-0.372739
"438",5,-0.260989,-0.371939
"439",5,-0.260815,-0.370496
"440",5,-0.260624,-0.369081
"441",5,-0.259983,-0.368302
"442",5,-0.260277,-0.367584
"443",5,-0.260556,-0.366772
"444",5,-0.260488,-0.365599
"445",5,-0.260301,-0.364631
"446",5,-0.260286,-0.364552
"447",5,-0.260072,-0.363986
"448",5,-0.259072,-0.363953
"449",5,-0.258462,-0.363649
"450",5,-0.25766,-0.363617
"451",5,-0.256836,-0.363792
"452",5,-0.256571,-0.364231
"453",5,-0.256057,-0.364386
"454",5,-0.255555,-0.364137
"455",5,-0.25495,-0.364303
"456",5,-0.254592,-0.365003
"457",5,-0.254453,-0.365837
"458",5,-0.253921,-0.366432
